shape1,shape2,iou,clip,color,edge,hash
Greenland,Connecticut,0.709119,0.709119,0.465864,0.065252,0.46875
Grenada,Connecticut,0.67557,0.67557,0.402248,0.108725,0.46875
Guam,Connecticut,0.749388,0.749388,0.381572,0.127046,0.4375
Guatemala,Connecticut,0.633229,0.633229,0.415713,0.147752,0.625
Guernsey,Connecticut,0.693835,0.693835,0.503987,0.090106,0.484375
Guinea-Bissau,Connecticut,0.577214,0.577214,0.457248,0.072328,0.65625
Hawaii,Connecticut,0.660266,0.660266,0.491576,0.076106,0.65625
Heard Island and McDonald Islands,Connecticut,0.672065,0.672065,0.421163,0.112986,0.5
Honduras,Connecticut,0.685354,0.685354,0.463404,0.085641,0.5
Hong Kong SAR,Connecticut,0.5911,0.5911,0.235705,0.027172,0.375
Iceland,Connecticut,0.645202,0.645202,0.327968,0.067454,0.5625
Illinois,Connecticut,0.690363,0.690363,0.520463,0.264848,0.53125
India,Connecticut,0.57016,0.57016,0.447496,0.109423,0.53125
Indiana,Connecticut,0.681021,0.681021,0.245272,0.182938,0.5625
Indonesia,Connecticut,0.622154,0.622154,0.464308,0.006523,0.546875
Iowa,Connecticut,0.683263,0.683263,0.477471,0.206922,0.5
Iran,Connecticut,0.520103,0.520103,0.486566,0.153783,0.46875
Iraq,Connecticut,0.589321,0.589321,0.499172,0.084444,0.375
Ireland,Connecticut,0.677148,0.677148,0.490095,0.105981,0.5625
Italy,Connecticut,0.659663,0.659663,0.452184,0.069138,0.640625
Jamaica,Connecticut,0.719372,0.719372,0.494686,0.085148,0.59375
Japan,Connecticut,0.64682,0.64682,0.515275,0.068383,0.53125
Jersey,Connecticut,0.764048,0.764048,0.51213,0.091279,0.5
Kansas,Connecticut,0.68584,0.68584,0.325581,0.175287,0.59375
Kazakhstan,Connecticut,0.583265,0.583265,0.386432,0.093539,0.5
Kentucky,Connecticut,0.820596,0.820596,0.377782,0.17632,0.46875
Kenya,Connecticut,0.540924,0.540924,0.472689,0.147727,0.6875
Kosovo,Connecticut,0.667876,0.667876,0.46758,0.185821,0.4375
Kuwait,Connecticut,0.608939,0.608939,0.499126,0.064882,0.53125
Kyrgyzstan,Connecticut,0.581618,0.581618,0.30948,0.150197,0.59375
Laos,Connecticut,0.671842,0.671842,0.346475,0.042013,0.53125
Latvia,Connecticut,0.701916,0.701916,0.431201,0.07779,0.5
Lebanon,Connecticut,0.640894,0.640894,0.456455,0.102497,0.5625
Lesotho,Connecticut,0.641875,0.641875,0.470043,0.045235,0.5
Liberia,Connecticut,0.707117,0.707117,0.48735,0.127276,0.59375
Libya,Connecticut,0.577529,0.577529,0.505626,0.066237,0.625
Louisiana,Connecticut,0.815495,0.815495,0.333119,0.25203,0.53125
Luxembourg,Connecticut,0.69818,0.69818,0.470271,0.048943,0.5
Madagascar,Connecticut,0.653321,0.653321,0.455152,0.058926,0.4375
Maine,Connecticut,0.887023,0.887023,0.259492,0.171946,0.53125
Maldives,Connecticut,0.611886,0.611886,0.294992,0.022275,0.515625
Mali,Connecticut,0.614861,0.614861,0.346741,0.068983,0.59375
Malta,Connecticut,0.655986,0.655986,0.463363,0.006474,0.5625
Marshall Islands,Connecticut,0.707864,0.707864,0.419051,0.063222,0.375
Maryland,Connecticut,0.646612,0.646612,0.488771,0.096275,0.53125
Mauritania,Connecticut,0.61159,0.61159,0.300461,0.085793,0.46875
Mauritius,Connecticut,0.696848,0.696848,0.377197,0.058423,0.546875
Michigan,Connecticut,0.833123,0.833123,0.287987,0.276282,0.53125
Minnesota,Connecticut,0.852147,0.852147,0.328632,0.230656,0.5625
Mississippi,Connecticut,0.661719,0.661719,0.413142,0.050448,0.4375
Moldova,Connecticut,0.665688,0.665688,0.464003,0.156999,0.59375
Monaco,Connecticut,0.614942,0.614942,0.432502,0.006814,0.546875
Mongolia,Connecticut,0.669598,0.669598,0.430037,0.048067,0.59375
Montana,Connecticut,0.709262,0.709262,0.26527,0.183078,0.40625
Montenegro,Connecticut,0.671137,0.671137,0.412772,0.172794,0.5625
Montserrat,Connecticut,0.765401,0.765401,0.43183,0.109261,0.46875
Morocco,Connecticut,0.588819,0.588819,0.233619,0,0.5
Mozambique,Connecticut,0.647231,0.647231,0.462213,0.03989,0.53125
Myanmar,Connecticut,0.64342,0.64342,0.404123,0.062069,0.4375
Namibia,Connecticut,0.635606,0.635606,0.381186,0.051522,0.4375
Nauru,Connecticut,0.716658,0.716658,0.389726,0.071741,0.59375
Nebraska,Connecticut,0.777232,0.777232,0.344797,0.318567,0.5625
Netherlands,Connecticut,0.681201,0.681201,0.451486,0,0.5
Nevada,Connecticut,0.817298,0.817298,0.243002,0.025047,0.375
New Caledonia,Connecticut,0.601004,0.601004,0.471007,0.119807,0.5
New Hampshire,Connecticut,0.85452,0.85452,0.284929,0.280348,0.5
New Jersey,Connecticut,0.886881,0.886881,0.25858,0.203851,0.5
New Mexico,Connecticut,0.59451,0.59451,0.265156,0.04871,0.515625
New York,Connecticut,0.890329,0.890329,0.41176,0.184599,0.5
New Zealand,Connecticut,0.71051,0.71051,0.414903,0.118232,0.53125
Nicaragua,Connecticut,0.66893,0.66893,0.42968,0.097207,0.46875
Niue,Connecticut,0.743231,0.743231,0.433406,0.10003,0.5625
Norfolk Island,Connecticut,0.749075,0.749075,0.460838,0.116899,0.5625
North Carolina,Connecticut,0.664527,0.664527,0.463407,0.056358,0.5625
North Korea,Connecticut,0.593385,0.593385,0.447593,0.127538,0.5
North Macedonia,Connecticut,0.510911,0.510911,0.424745,0.086392,0.5
Northern Mariana Islands,Connecticut,0.618595,0.618595,0.426442,0.24497,0.4375
Norway,Connecticut,0.638675,0.638675,0.333425,0.08829,0.59375
Ohio,Connecticut,0.679516,0.679516,0.498298,0.087867,0.5
Oklahoma,Connecticut,0.585111,0.585111,0.267268,0.150748,0.53125
Oman,Connecticut,0.570446,0.570446,0.476831,0.031946,0.65625
Oregon,Connecticut,0.707221,0.707221,0.320403,0.222324,0.5625
Pakistan,Connecticut,0.628002,0.628002,0.397674,0.058088,0.34375
Palau,Connecticut,0.663793,0.663793,0.303436,0.035737,0.625
Palestine,Connecticut,0.610466,0.610466,0.508064,0.051075,0.5625
Papua New Guinea,Connecticut,0.631881,0.631881,0.458656,0.051068,0.625
Paraguay,Connecticut,0.680847,0.680847,0.481132,0.107267,0.46875
Pennsylvania,Connecticut,0.845858,0.845858,0.298271,0.221471,0.4375
Peru,Connecticut,0.71699,0.71699,0.404916,0.074762,0.484375
Philippines,Connecticut,0.610164,0.610164,0.46991,0.025034,0.46875
Pitcairn Islands,Connecticut,0.767974,0.767974,0.437242,0.144264,0.5
Portugal,Connecticut,0.622478,0.622478,0.316617,0.158801,0.53125
Puerto Rico,Connecticut,0.667645,0.667645,0.43138,0.082147,0.46875
Qatar,Connecticut,0.625922,0.625922,0.23072,0.051326,0.53125
Republic of the Congo,Connecticut,0.668874,0.668874,0.340817,0.035278,0.59375
Russia,Connecticut,0.630235,0.630235,0.453228,0,0.53125
Saint Lucia,Connecticut,0.726709,0.726709,0.402659,0.082388,0.65625
Saint Pierre and Miquelon,Connecticut,0.736372,0.736372,0.423654,0.161384,0.375
Saint Vincent and the Grenadines,Connecticut,0.749687,0.749687,0.346204,0.060272,0.625
San Marino,Connecticut,0.722246,0.722246,0.452557,0.193941,0.375
Saudi Arabia,Connecticut,0.556752,0.556752,0.267963,0.169902,0.5
Senegal,Connecticut,0.597649,0.597649,0.339468,0.093155,0.6875
Seychelles,Connecticut,0.746835,0.746835,0.48896,0.061609,0.625
Sierra Leone,Connecticut,0.705143,0.705143,0.450689,0,0.5
Singapore,Connecticut,0.617674,0.617674,0.472857,0.012234,0.375
Sint Maarten,Connecticut,0.681201,0.681201,0.451486,0,0.5
Slovakia,Connecticut,0.613008,0.613008,0.686175,0.084886,0.5625
Solomon Islands,Connecticut,0.694151,0.694151,0.4449,0.078249,0.40625
Somalia,Connecticut,0.693668,0.693668,0.253823,0.044662,0.53125
South Carolina,Connecticut,0.687407,0.687407,0.28025,0.167228,0.46875
South Dakota,Connecticut,0.703011,0.703011,0.308559,0.224855,0.53125
South Korea,Connecticut,0.628541,0.628541,0.519484,0.079123,0.5625
Sri Lanka,Connecticut,0.67287,0.67287,0.453011,0.157418,0.6875
Suriname,Connecticut,0.579179,0.579179,0.411053,0.063272,0.5625
Switzerland,Connecticut,0.583484,0.583484,0.121662,0.016249,0.5
Syria,Connecticut,0.583709,0.583709,0.49974,0.04632,0.5
Taiwan,Connecticut,0.642195,0.642195,0.145491,0.045334,0.5
Tajikistan,Connecticut,0.58336,0.58336,0.500218,0.13558,0.46875
Thailand,Connecticut,0.65614,0.65614,0.452024,0.044697,0.53125
The Bahamas,Connecticut,0.701748,0.701748,0.464243,0.067732,0.609375
Tonga,Connecticut,0.678473,0.678473,0.422115,0.040969,0.46875
Trinidad and Tobago,Connecticut,0.687899,0.687899,0.423432,0.066957,0.59375
Tunisia,Connecticut,0.587079,0.587079,0.28164,0.092563,0.53125
Turkey,Connecticut,0.570772,0.570772,0.263236,0.050228,0.5
Turkmenistan,Connecticut,0.60965,0.60965,0.270099,0.061107,0.59375
Turks and Caicos Islands,Connecticut,0.760279,0.760279,0.424661,0.110671,0.4375
Tuvalu,Connecticut,0.643839,0.643839,0.433134,0.128729,0.5625
Uganda,Connecticut,0.561629,0.561629,0.467828,0.089721,0.53125
Ukraine,Connecticut,0.640256,0.640256,0.315576,0.006523,0.546875
United Arab Emirates,Connecticut,0.61327,0.61327,0.506402,0.073408,0.5
United Kingdom,Connecticut,0.676994,0.676994,0.491921,0.113657,0.46875
United Republic of Tanzania,Connecticut,0.652228,0.652228,0.45546,0.057738,0.5625
United States of America,Connecticut,0.699456,0.699456,0.490528,0.108147,0.5625
United States Virgin Islands,Connecticut,0.756464,0.756464,0.519457,0.179831,0.71875
Uruguay,Connecticut,0.641625,0.641625,0.495004,0.07966,0.46875
Uzbekistan,Connecticut,0.621225,0.621225,0.493218,0.063449,0.34375
Vanuatu,Connecticut,0.624727,0.624727,0.466779,0.051821,0.5625
Vatican,Connecticut,0.557533,0.557533,0.371451,0.117913,0.4375
Venezuela,Connecticut,0.587396,0.587396,0.359947,0.0461,0.5
Vietnam,Connecticut,0.62354,0.62354,-0.001546,0.041992,0.4375
Washington,Connecticut,0.753232,0.753232,0.345168,0.18398,0.5625
West Virginia,Connecticut,0.798335,0.798335,0.509351,0.17038,0.53125
Western Sahara,Connecticut,0.601389,0.601389,0.507506,0.088857,0.53125
Zambia,Connecticut,0.673816,0.673816,0.312776,0.006428,0.53125
Zimbabwe,Connecticut,0.575958,0.575958,0.497004,0.082616,0.59375
Alabama,Cook Islands,0.76739,0.76739,0.77782,0.037305,0.5625
Alaska,Cook Islands,0.807108,0.807108,0.31433,0.037318,0.53125
Andorra,Cook Islands,0.623613,0.623613,0.514042,0.084747,0.5625
Argentina,Cook Islands,0.681796,0.681796,0.657794,0.0506,0.5625
Arizona,Cook Islands,0.577837,0.577837,0.784899,0.081312,0.5
Arkansas,Cook Islands,0.592931,0.592931,0.661075,0.068108,0.53125
Armenia,Cook Islands,0.745377,0.745377,0.875837,0.307412,0.515625
Aruba,Cook Islands,0.719775,0.719775,0.408737,0.041968,0.46875
Azerbaijan,Cook Islands,0.606252,0.606252,0.71741,0.01292,0.625
Bahrain,Cook Islands,0.636643,0.636643,0.678154,0.013198,0.515625
Bangladesh,Cook Islands,0.654599,0.654599,0.519363,0.025023,0.65625
Belarus,Cook Islands,0.689155,0.689155,0.681098,0.219331,0.5625
Benin,Cook Islands,0.686774,0.686774,0.5327,0.039993,0.375
Brazil,Cook Islands,0.696937,0.696937,0.060292,0.070665,0.59375
Burkina Faso,Cook Islands,0.64125,0.64125,0.478496,0.02917,0.59375
Cambodia,Cook Islands,0.614701,0.614701,0.897367,0.06723,0.59375
Canada,Cook Islands,0.745948,0.745948,0.743022,0.149919,0.4375
Cayman Islands,Cook Islands,0.855706,0.855706,0.999734,0.614917,0.75
Central African Republic,Cook Islands,0.719944,0.719944,0.853357,0.093896,0.59375
Chile,Cook Islands,0.719842,0.719842,0.782986,0.030577,0.53125
China,Cook Islands,0.687438,0.687438,0.371712,0.037087,0.59375
Colombia,Cook Islands,0.681635,0.681635,0.69546,0.011484,0.546875
Comoros,Cook Islands,0.740107,0.740107,0.741573,0.044367,0.46875
Croatia,Cook Islands,0.679184,0.679184,0.773858,0.229805,0.40625
Cuba,Cook Islands,0.667105,0.667105,0.966986,0.228131,0.625
Curaao,Cook Islands,0.78691,0.78691,0.899688,0.041442,0.53125
Denmark,Cook Islands,0.769128,0.769128,0.476397,0.032656,0.53125
District of Columbia,Cook Islands,0.579371,0.579371,0.811211,0.23193,0.53125
Djibouti,Cook Islands,0.682576,0.682576,0.688271,0.028325,0.53125
East Timor,Cook Islands,0.749,0.749,0.686711,0.272304,0.40625
Egypt,Cook Islands,0.660151,0.660151,0.788037,0.055343,0.40625
Equatorial Guinea,Cook Islands,0.700292,0.700292,0.703686,0.035401,0.5625
Eritrea,Cook Islands,0.653058,0.653058,0.719426,0.061819,0.53125
Estonia,Cook Islands,0.672975,0.672975,0.791907,0.033325,0.53125
Finland,Cook Islands,0.747602,0.747602,0.953517,0.045466,0.5625
Florida,Cook Islands,0.656589,0.656589,0.783532,0.099149,0.40625
Georgia,Cook Islands,0.815695,0.815695,0.784616,0.077568,0.46875
Gibraltar,Cook Islands,0.692089,0.692089,0.79345,0.053415,0.53125
Guam,Cook Islands,0.658569,0.658569,0.981735,0.043817,0.5625
Guinea-Bissau,Cook Islands,0.631632,0.631632,0.714115,0.238993,0.625
Hong Kong SAR,Cook Islands,0.687438,0.687438,0.371712,0.037087,0.59375
Iceland,Cook Islands,0.789081,0.789081,0.941973,0.088961,0.5625
India,Cook Islands,0.710826,0.710826,0.706654,0.052205,0.40625
Indiana,Cook Islands,0.58063,0.58063,0.387776,0.078958,0.4375
Iran,Cook Islands,0.603478,0.603478,0.768079,0.066394,0.46875
Italy,Cook Islands,0.723749,0.723749,0.713987,0.032149,0.484375
Jamaica,Cook Islands,0.732525,0.732525,0.768579,0.178293,0.46875
Japan,Cook Islands,0.735272,0.735272,0.813015,0.014718,0.34375
Kansas,Cook Islands,0.574814,0.574814,0.514973,0.090179,0.5625
Kazakhstan,Cook Islands,0.66699,0.66699,0.610042,0.218811,0.5
Kosovo,Cook Islands,0.718505,0.718505,0.738216,0.074606,0.5625
Kuwait,Cook Islands,0.708058,0.708058,0.787961,0.220183,0.59375
Kyrgyzstan,Cook Islands,0.628656,0.628656,0.486535,0.079405,0.59375
Lebanon,Cook Islands,0.70126,0.70126,0.751625,0.104147,0.625
Lesotho,Cook Islands,0.640619,0.640619,0.742068,0.023233,0.53125
Liberia,Cook Islands,0.760773,0.760773,0.808418,0.091345,0.5625
Libya,Cook Islands,0.642622,0.642622,0.797969,0.020136,0.40625
Louisiana,Cook Islands,0.675314,0.675314,0.526142,0.0735,0.46875
Luxembourg,Cook Islands,0.775169,0.775169,0.742421,0.018949,0.53125
Maldives,Cook Islands,0.715483,0.715483,0.46637,0.010049,0.515625
Marshall Islands,Cook Islands,0.780042,0.780042,0.994347,0.05621,0.53125
Mauritius,Cook Islands,0.722081,0.722081,0.579608,0.101012,0.484375
Michigan,Cook Islands,0.623506,0.623506,0.924594,0.112942,0.625
Minnesota,Cook Islands,0.692562,0.692562,0.519605,0.087036,0.625
Mississippi,Cook Islands,0.710439,0.710439,0.822641,0.102015,0.5
Monaco,Cook Islands,0.719118,0.719118,0.682811,0.011996,0.484375
Mongolia,Cook Islands,0.672277,0.672277,0.676864,0.199562,0.375
Montenegro,Cook Islands,0.673853,0.673853,0.651716,0.210429,0.5
Morocco,Cook Islands,0.62967,0.62967,0.369384,0,0.59375
Myanmar,Cook Islands,0.68309,0.68309,0.618787,0.013987,0.5
Namibia,Cook Islands,0.73556,0.73556,0.815014,0.053087,0.46875
Nebraska,Cook Islands,0.602118,0.602118,0.965053,0.122099,0.5625
Netherlands,Cook Islands,0.765891,0.765891,0.712803,0,0.53125
Nevada,Cook Islands,0.731254,0.731254,0.884342,0.097546,0.59375
New Caledonia,Cook Islands,0.660534,0.660534,0.884732,0.221157,0.53125
New Hampshire,Cook Islands,0.675577,0.675577,0.922151,0.116977,0.46875
New York,Cook Islands,0.675832,0.675832,0.995934,0.093121,0.65625
North Carolina,Cook Islands,0.66354,0.66354,0.893299,0.07841,0.46875
North Korea,Cook Islands,0.708299,0.708299,0.735149,0.236255,0.625
Northern Mariana Islands,Cook Islands,0.59348,0.59348,0.672966,0.195886,0.5
Oklahoma,Cook Islands,0.547277,0.547277,0.422336,0.072817,0.5
Oman,Cook Islands,0.663547,0.663547,0.775924,0.100545,0.53125
Pakistan,Cook Islands,0.740615,0.740615,0.627926,0.030534,0.59375
Palestine,Cook Islands,0.687462,0.687462,0.801812,0.05118,0.625
Paraguay,Cook Islands,0.73536,0.73536,0.912976,0.036676,0.5625
Qatar,Cook Islands,0.679156,0.679156,0.364806,0.020037,0.53125
Republic of the Congo,Cook Islands,0.692371,0.692371,0.538192,0.019518,0.59375
Russia,Cook Islands,0.746121,0.746121,0.909592,0,0.53125
Saint Pierre and Miquelon,Cook Islands,0.711684,0.711684,0.657285,0.122999,0.53125
San Marino,Cook Islands,0.697902,0.697902,0.714494,0.071096,0.59375
Senegal,Cook Islands,0.637499,0.637499,0.564692,0.05024,0.46875
Seychelles,Cook Islands,0.761396,0.761396,0.768729,0.077143,0.5625
Solomon Islands,Cook Islands,0.759109,0.759109,0.8991,0.203988,0.53125
Somalia,Cook Islands,0.732576,0.732576,0.401229,0.029891,0.53125
South Carolina,Cook Islands,0.620356,0.620356,0.442755,0.082918,0.53125
South Dakota,Cook Islands,0.609189,0.609189,0.485793,0.088955,0.5625
Suriname,Cook Islands,0.663128,0.663128,0.649237,0.034333,0.40625
Switzerland,Cook Islands,0.729206,0.729206,0.192827,0.027266,0.5
Syria,Cook Islands,0.662795,0.662795,0.788653,0.011222,0.46875
Tajikistan,Cook Islands,0.738373,0.738373,0.78908,0.240158,0.5
The Bahamas,Cook Islands,0.697691,0.697691,0.73262,0.273868,0.484375
Tonga,Cook Islands,0.796413,0.796413,0.666455,0.211494,0.59375
Trinidad and Tobago,Cook Islands,0.727126,0.727126,0.66859,0.04981,0.5
Tunisia,Cook Islands,0.680819,0.680819,0.445122,0.032409,0.4375
Turkmenistan,Cook Islands,0.670672,0.670672,0.427033,0.092496,0.625
Tuvalu,Cook Islands,0.925237,0.925237,0.716203,0.652462,0.59375
Uganda,Cook Islands,0.573575,0.573575,0.722174,0.047129,0.4375
Ukraine,Cook Islands,0.717994,0.717994,0.471545,0.011484,0.484375
United Kingdom,Cook Islands,0.914452,0.914452,0.905767,0.109949,0.5625
United Republic of Tanzania,Cook Islands,0.668607,0.668607,0.714748,0.02444,0.5625
United States of America,Cook Islands,0.744517,0.744517,0.774304,0.121592,0.40625
United States Virgin Islands,Cook Islands,0.682559,0.682559,0.824364,0.112349,0.53125
Vatican,Cook Islands,0.578126,0.578126,0.551657,0.115232,0.46875
Venezuela,Cook Islands,0.665756,0.665756,0.810971,0.015467,0.625
Vietnam,Cook Islands,0.69464,0.69464,-0.001529,0.008231,0.6875
West Virginia,Cook Islands,0.691165,0.691165,0.803655,0.08221,0.53125
Western Sahara,Cook Islands,0.695343,0.695343,0.800936,0.061332,0.625
Zambia,Cook Islands,0.707893,0.707893,0.494185,0.040858,0.53125
Zimbabwe,Cook Islands,0.630899,0.630899,0.776053,0.090068,0.4375
Afghanistan,Costa Rica,0.633666,0.633666,0.808222,0.057057,0.5
Alabama,Costa Rica,0.727966,0.727966,0.85673,0.034873,0.5
Aland,Costa Rica,0.747147,0.747147,0.571457,0.181344,0.5
Alaska,Costa Rica,0.693971,0.693971,0.345976,0.029066,0.5
Albania,Costa Rica,0.61568,0.61568,0.446961,0.041799,0.5
American Samoa,Costa Rica,0.807492,0.807492,0.861154,0.048955,0.5
Andorra,Costa Rica,0.711883,0.711883,0.566358,0.045684,0.5
Angola,Costa Rica,0.742831,0.742831,0.943047,0.025217,0.53125
Antigua and Barbuda,Costa Rica,0.794969,0.794969,0.923311,0.019772,0.53125
Argentina,Costa Rica,0.709784,0.709784,0.724573,0,0.5
Arizona,Costa Rica,0.630598,0.630598,0.657294,0.013208,0.53125
Arkansas,Costa Rica,0.611995,0.611995,0.683501,0.041972,0.5
Armenia,Costa Rica,0.885058,0.885058,0.871292,0,0.984375
Aruba,Costa Rica,0.790751,0.790751,0.450317,0.005261,0.53125
Australia,Costa Rica,0.726518,0.726518,0.732386,0.021716,0.53125
Austria,Costa Rica,0.801728,0.801728,0.70138,0,0.96875
Azerbaijan,Costa Rica,0.655838,0.655838,0.790265,0,0.53125
Bahrain,Costa Rica,0.670623,0.670623,0.917098,0.012212,0.765625
Bangladesh,Costa Rica,0.692731,0.692731,0.572148,0.052006,0.53125
Barbados,Costa Rica,0.717718,0.717718,0.755532,0.015245,0.53125
Belarus,Costa Rica,0.726749,0.726749,0.750245,0.031265,0.53125
Belgium,Costa Rica,0.73008,0.73008,0.646326,0.013782,0.5
Benin,Costa Rica,0.758516,0.758516,0.704842,0,0.5
Bermuda,Costa Rica,0.71739,0.71739,0.777825,0.036437,0.53125
Bolivia,Costa Rica,0.787443,0.787443,0.564048,0,0.9375
Botswana,Costa Rica,0.789975,0.789975,0.640664,0,1
Brazil,Costa Rica,0.676741,0.676741,0.033207,0.042854,0.5
British Indian Ocean Territory,Costa Rica,0.68065,0.68065,0.968532,0.070003,0.53125
British Virgin Islands,Costa Rica,0.685366,0.685366,0.921347,0.027571,0.53125
Bulgaria,Costa Rica,0.72523,0.72523,0.817777,0,0.96875
Burkina Faso,Costa Rica,0.721481,0.721481,0.527168,0,0.5
Burundi,Costa Rica,0.690811,0.690811,0.906945,0.029976,0.53125
Cabo Verde,Costa Rica,0.85869,0.85869,0.879247,0.3806,0.53125
Cambodia,Costa Rica,0.83906,0.83906,0.811284,0.103803,0.5
Cameroon,Costa Rica,0.663018,0.663018,0.717263,0.008521,0.5
Canada,Costa Rica,0.668701,0.668701,0.818417,0.010477,0.53125
Cayman Islands,Costa Rica,0.743134,0.743134,0.917442,0.049571,0.53125
Central African Republic,Costa Rica,0.762261,0.762261,0.86175,0.00518,0.5
Chile,Costa Rica,0.77889,0.77889,0.812902,0.002389,0.53125
China,Costa Rica,0.66789,0.66789,0.409522,0.021951,0.53125
Colombia,Costa Rica,0.793744,0.793744,0.759515,0,0.953125
Colorado,Costa Rica,0.657886,0.657886,0.877446,0.033573,0.5
Comoros,Costa Rica,0.746072,0.746072,0.866265,0.013498,0.53125
Connecticut,Costa Rica,0.679222,0.679222,0.470287,0.086665,0.53125
Cook Islands,Costa Rica,0.76063,0.76063,0.913623,0.032469,0.53125
Croatia,Costa Rica,0.721955,0.721955,0.852386,0.007288,0.5
Cuba,Costa Rica,0.826638,0.826638,0.942857,0.010076,0.53125
Curaao,Costa Rica,0.779605,0.779605,0.715086,0.003618,0.53125
Cyprus,Costa Rica,0.673765,0.673765,0.902452,0.050442,0.5
Czechia,Costa Rica,0.827418,0.827418,0.80266,0.00066,0.5
Delaware,Costa Rica,0.590366,0.590366,0.502837,0.059966,0.5
Democratic Republic of the Congo,Costa Rica,0.722924,0.722924,0.453951,0.022858,0.5
Denmark,Costa Rica,0.736378,0.736378,0.52481,0.015232,0.5
District of Columbia,Costa Rica,0.650083,0.650083,0.875454,0.000915,0.53125
Djibouti,Costa Rica,0.724254,0.724254,0.757163,0.012113,0.53125
Dominica,Costa Rica,0.718331,0.718331,0.783204,0.005878,0.53125
East Timor,Costa Rica,0.767711,0.767711,0.756419,0.019592,0.53125
Egypt,Costa Rica,0.706,0.706,0.952687,0.031079,0.5
El Salvador,Costa Rica,0.772646,0.772646,0.765853,0,0.5
Equatorial Guinea,Costa Rica,0.743379,0.743379,0.77515,0.018402,0.5
Eritrea,Costa Rica,0.668411,0.668411,0.792678,0.035019,0.53125
Estonia,Costa Rica,0.764207,0.764207,0.872236,0,0.96875
eSwatini,Costa Rica,0.697613,0.697613,0.698212,0.004402,0.53125
Ethiopia,Costa Rica,0.629453,0.629453,0.887872,0.016462,0.5
Faroe Islands,Costa Rica,0.80814,0.80814,0.874155,0.004786,0.78125
Federated States of Micronesia,Costa Rica,0.743435,0.743435,0.617192,0.021555,0.53125
Finland,Costa Rica,0.733862,0.733862,0.953255,0.010074,0.53125
Florida,Costa Rica,0.668939,0.668939,0.863013,0.060802,0.5
France,Costa Rica,0.802218,0.802218,0.786615,0.014947,0.75
French Polynesia,Costa Rica,0.799757,0.799757,0.935793,0.035603,0.53125
French Southern and Antarctic Lands,Costa Rica,0.791961,0.791961,0.525679,0.05505,0.53125
Georgia,Costa Rica,0.719207,0.719207,0.864212,0.025703,0.53125
Georgia (state),Costa Rica,0.751288,0.751288,0.804183,0.006589,0.5
Germany,Costa Rica,0.76297,0.76297,0.817777,0.610861,0.96875
Ghana,Costa Rica,0.71489,0.71489,0.746507,0.013828,0.5
Gibraltar,Costa Rica,0.70361,0.70361,0.874125,0.020274,0.53125
Greece,Costa Rica,0.744605,0.744605,0.775788,0.001286,0.53125
Greenland,Costa Rica,0.742261,0.742261,0.809969,0.034613,0.5
Grenada,Costa Rica,0.710795,0.710795,0.82554,0.01582,0.53125
Guam,Costa Rica,0.779419,0.779419,0.865412,0.014616,0.53125
Guatemala,Costa Rica,0.73152,0.73152,0.723029,0.014821,0.53125
Guernsey,Costa Rica,0.708729,0.708729,0.948779,0.020088,0.765625
Guinea,Costa Rica,0.765475,0.765475,0.722201,0.017565,0.5
Guinea-Bissau,Costa Rica,0.716626,0.716626,0.869815,0.008748,0.53125
Guyana,Costa Rica,0.755001,0.755001,0.798615,0.041896,0.8125
Hawaii,Costa Rica,0.792578,0.792578,0.906575,0.013298,0.53125
Heard Island and McDonald Islands,Costa Rica,0.72606,0.72606,0.732459,0.021508,0.53125
Honduras,Costa Rica,0.811861,0.811861,0.805608,0,0.5
Hong Kong SAR,Costa Rica,0.66789,0.66789,0.409522,0.021951,0.53125
Iceland,Costa Rica,0.815909,0.815909,0.796352,0.009875,0.75
Idaho,Costa Rica,0.688094,0.688094,0.281387,0.06343,0.5
Illinois,Costa Rica,0.639053,0.639053,0.905324,0.042025,0.53125
India,Costa Rica,0.668034,0.668034,0.778404,0,0.5
Indiana,Costa Rica,0.524479,0.524479,0.427221,0.066047,0.53125
Indonesia,Costa Rica,0.773041,0.773041,0.943303,0,0.953125
Iowa,Costa Rica,0.614393,0.614393,0.830361,0.045342,0.5
Iran,Costa Rica,0.605549,0.605549,0.84603,0.206406,0.5
Iraq,Costa Rica,0.700211,0.700211,0.952566,0,0.5
Ireland,Costa Rica,0.676539,0.676539,0.852087,0.018673,0.78125
Isle of Man,Costa Rica,0.68871,0.68871,0.663955,0.013286,0.53125
Italy,Costa Rica,0.704357,0.704357,0.786469,0.016286,0.515625
Jamaica,Costa Rica,0.732965,0.732965,0.846574,0.043965,0.8125
Japan,Costa Rica,0.709477,0.709477,0.895468,0.059897,0.5
Jersey,Costa Rica,0.691407,0.691407,0.943686,0.028283,0.53125
Kansas,Costa Rica,0.592747,0.592747,0.566887,0.055195,0.53125
Kazakhstan,Costa Rica,0.697237,0.697237,0.671995,0.03289,0.53125
Kentucky,Costa Rica,0.690886,0.690886,0.657076,0.037515,0.5
Kenya,Costa Rica,0.568952,0.568952,0.821858,0.301287,0.53125
Kosovo,Costa Rica,0.788578,0.788578,0.813151,0.062348,0.53125
Kuwait,Costa Rica,0.703317,0.703317,0.92778,0.00992,0.5
Kyrgyzstan,Costa Rica,0.644836,0.644836,0.778387,0.028308,0.53125
Laos,Costa Rica,0.884995,0.884995,0.919724,0.011425,0.5
